dataset,dataset_full_name,dataset_link,c_source,c_programme,c_modality,c_obs_type,c_protocol,c_platform,c_workflow,c_cn_type,c_raw_cn_scale,c_raw_locus_type,c_reference,c_cancer_type,c_cancer_type_full_name,n_sample_num,n_cell_num,n_spot_num,n_after_qc_ratio,c_usage_permission
PACA-AU,ICGC PCAWG Dataset-PACA-AU (COSU328),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=328,COSMIC,ICGC PCAWG,bulkDNA,sample,WGS,NA,ASCAT,Gene Integer,ACN estimate,gene-level matrices,hg38,Pancreatic Cancer,Pancreatic Cancer,273,NA,NA,NA,Open Access
LICA-FR,ICGC PCAWG Dataset-LICA-FR (COSU381),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=381,COSMIC,ICGC PCAWG,bulkDNA,sample,WGS,NA,ASCAT,Gene Integer,ACN estimate,gene-level matrices,hg38,HCC,Liver Cancer,146,NA,NA,NA,Open Access
BRCA-UK,ICGC PCAWG Dataset-BRCA-UK (COSU385),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=385,COSMIC,ICGC PCAWG,bulkDNA,sample,WES/WGS,NA,ASCAT,Gene Integer,ACN,gene-level matrices,hg38,BRCA,Breast Cancer,111,NA,NA,NA,Open Access
EOPC-DE,ICGC PCAWG Dataset-EOPC-DE (COSU534),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=534,COSMIC,ICGC PCAWG,bulkDNA,sample,WGS,NA,ASCAT,Gene Integer,ACN,gene-level matrices,hg38,Prostate Cancer,Early Onset Prostate Cancer,11,NA,NA,NA,Open Access
OV-AU,ICGC PCAWG Dataset-OV-AU (COSU585),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=585,COSMIC,ICGC PCAWG,bulkDNA,sample,WGS,NA,ASCAT,Gene Integer,ACN,gene-level matrices,hg38,OV,Ovarian Cancer,115,NA,NA,NA,Open Access
COCA-CN,ICGC-COCA-CN (COSU646),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=646,COSMIC,ICGC,bulkDNA,sample,WES/WGS,NA,ASCAT,Gene Integer,ACN,gene-level matrices,hg38,CRC,Colorectal Cancer,47,NA,NA,NA,Open Access
PACA-CA,ICGC PCAWG Dataset-PACA-CA (COSU382),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=382,COSMIC,ICGC PCAWG,bulkDNA,sample,WGS,NA,ASCAT,Gene Integer,ACN,gene-level matrices,hg38,Pancreatic Cancer,Pancreatic Cancer,351,NA,NA,NA,Open Access
BOCA-UK,ICGC PCAWG Dataset-BOCA-UK (COSU486),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=486,COSMIC,ICGC PCAWG,bulkDNA,sample,WGS,NA,ASCAT,Gene Integer,ACN,gene-level matrices,hg38,Bone Cancer,Bone Cancer,36,NA,NA,NA,Open Access
ESAD-UK,ICGC PCAWG Dataset-ESAD-UK (COSU535),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=535,COSMIC,ICGC PCAWG,bulkDNA,sample,WGS,NA,ASCAT,Gene Integer,ACN,gene-level matrices,hg38,ESCA,Esophageal Adenocarcinoma,314,NA,NA,NA,Open Access
PRAD-UK,ICGC PCAWG Dataset-PRAD-UK (COSU538),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=538,COSMIC,ICGC PCAWG,bulkDNA,sample,WGS,NA,ASCAT,Gene Integer,ACN,gene-level matrices,hg38,PRAD,Prostate Adenocarcinoma,146,NA,NA,NA,Open Access
PAEN-AU,ICGC PCAWG Dataset-PAEN-AU (COSU586),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=586,COSMIC,ICGC PCAWG,bulkDNA,sample,WGS,NA,ASCAT,Gene Integer,ACN,gene-level matrices,hg38,Pancreatic Cancer,Pancreatic Cancer Endocrine neoplasms,56,NA,NA,NA,Open Access
PAEN-IT,ICGC PCAWG Dataset-PAEN-IT (COSU661),https://cancer.sanger.ac.uk/cosmic/study/overview?study_id=661,COSMIC,ICGC PCAWG,bulkDNA,sample,WGS,NA,ASCAT,Gene Integer,ACN,gene-level matrices,hg38,Pancreatic Cancer,Pancreatic Endocrine Neoplasms,35,NA,NA,NA,Open Access
10x_scDNA_mkn45_5k,5k MKN-45 Gastric Cancer Cell Line,https://www.10xgenomics.com/datasets/5-k-mkn-45-gastric-cancer-cell-line-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,Gastric Cancer,Gastric Cancer,1,5220,NA,NA,Open Access
10x_scDNA_mkn45_5k_50k_rpc,5k MKN-45 Gastric Cancer Cell Line (50K Read Pairs Per Cell),https://www.10xgenomics.com/datasets/5-k-mkn-45-gastric-cancer-cell-line-50-k-read-pairs-per-cell-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,Gastric Cancer,Gastric Cancer,1,5218,NA,NA,Open Access
10x_scDNA_mkn45_5k_100k_rpc,5k MKN-45 Gastric Cancer Cell Line (100K Read Pairs Per Cell),https://www.10xgenomics.com/datasets/5-k-mkn-45-gastric-cancer-cell-line-100-k-read-pairs-per-cell-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,Gastric Cancer,Gastric Cancer,1,5219,NA,NA,Open Access
10x_scDNA_mkn45_5k_150k_rpc,5k MKN-45 Gastric Cancer Cell Line (150K Read Pairs Per Cell),https://www.10xgenomics.com/datasets/5-k-mkn-45-gastric-cancer-cell-line-150-k-read-pairs-per-cell-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,Gastric Cancer,Gastric Cancer,1,5218,NA,NA,Open Access
10x_scDNA_mkn45_5k_300k_rpc,5k MKN-45 Gastric Cancer Cell Line (300K Read Pairs Per Cell),https://www.10xgenomics.com/datasets/5-k-mkn-45-gastric-cancer-cell-line-300-k-read-pairs-per-cell-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,Gastric Cancer,Gastric Cancer,1,5218,NA,NA,Open Access
10x_scDNA_mkn45_5k_500k_rpc,5k MKN-45 Gastric Cancer Cell Line (500K Read Pairs Per Cell),https://www.10xgenomics.com/datasets/5-k-mkn-45-gastric-cancer-cell-line-500-k-read-pairs-per-cell-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,Gastric Cancer,Gastric Cancer,1,5219,NA,NA,Open Access
10x_scDNA_mkn45_5k_750k_rpc,5k MKN-45 Gastric Cancer Cell Line (750K Read Pairs Per Cell),https://www.10xgenomics.com/datasets/5-k-mkn-45-gastric-cancer-cell-line-750-k-read-pairs-per-cell-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,Gastric Cancer,Gastric Cancer,1,5220,NA,NA,Open Access
10x_scDNA_breast_tissue_A_2k,Breast Tissue nuclei section A 2000 cells,https://www.10xgenomics.com/datasets/breast-tissue-nuclei-section-a-2000-cells-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Cancer,1,2173,NA,NA,Open Access
10x_scDNA_breast_tissue_B_2k,Breast Tissue nuclei section B 2000 cells,https://www.10xgenomics.com/datasets/breast-tissue-nuclei-section-b-2000-cells-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Cancer,1,2224,NA,NA,Open Access
10x_scDNA_breast_tissue_C_2k,Breast Tissue nuclei section C 2000 cells,https://www.10xgenomics.com/datasets/breast-tissue-nuclei-section-c-2000-cells-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Cancer,1,1722,NA,NA,Open Access
10x_scDNA_breast_tissue_D_2k,Breast Tissue nuclei section D 2000 cells,https://www.10xgenomics.com/datasets/breast-tissue-nuclei-section-d-2000-cells-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Cancer,1,1916,NA,NA,Open Access
10x_scDNA_breast_tissue_E_2k,Breast Tissue nuclei section E 2000 cells,https://www.10xgenomics.com/datasets/breast-tissue-nuclei-section-e-2000-cells-1-standard-1-1-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,BRCA,Breast Cancer,1,2053,NA,NA,Open Access
10x_scDNA_colo829_G1_1k,COLO829 G1 sorted 1475 cells,https://www.10xgenomics.com/datasets/colo-829-g-1-sorted-1475-cells-1-standard-1-0-0,10x Official,10x Official,scDNA,cell,10x Chromium CNV,Illumina NovaSeq,Cell Ranger DNA,Bin Integer,ACN estimate,bin-level matrices,hg19,MEL,Melanoma,1,1475,NA,NA,Open Access
CPTAC-Brain_Cancer,"CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus",https://portal.gdc.cancer.gov/projects/CPTAC-3,GDC Portal,CPTAC,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,Brain Cancer,Brain Cancer,220,NA,NA,NA,Open Access
CPTAC-HNSC,"CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus",https://portal.gdc.cancer.gov/projects/CPTAC-3,GDC Portal,CPTAC,bulkDNA,sample,WGS,Illumina,AscatNGS,Bin Integer,ACN estimate,segment-level BED,hg38,HNSC,Head and Neck Squamous Cell Cancer,108,NA,NA,NA,Open Access
